epoch,accuracy,loss,val_accuracy,val_loss
0,0.45215311646461487,1.3083300590515137,0.6702127456665039,1.0857144594192505
1,0.6531100273132324,0.9905115962028503,0.7446808218955994,0.8347039818763733
2,0.7440191507339478,0.7487561702728271,0.7978723645210266,0.5924453735351562
3,0.7679426074028015,0.6088676452636719,0.7978723645210266,0.4958820641040802
4,0.8086124658584595,0.5064154267311096,0.8085106611251831,0.3872438669204712
5,0.8301435112953186,0.4007996618747711,0.914893627166748,0.2874946892261505
6,0.8636363744735718,0.35192248225212097,0.8085106611251831,0.26520392298698425
7,0.880382776260376,0.29210999608039856,0.9255319237709045,0.18837422132492065
8,0.9066985845565796,0.2208167463541031,0.957446813583374,0.1515367180109024
9,0.9114832282066345,0.19448259472846985,0.9042553305625916,0.1571386456489563
10,0.9162679314613342,0.18277329206466675,0.9680851101875305,0.11666890233755112
11,0.9377990365028381,0.14306236803531647,0.9255319237709045,0.1263863742351532
12,0.9282296895980835,0.1549878716468811,0.9680851101875305,0.09547242522239685
13,0.9521530866622925,0.12157615274190903,0.9255319237709045,0.11921573430299759
14,0.9066985845565796,0.18518511950969696,0.9042553305625916,0.13897299766540527
15,0.9282296895980835,0.14804942905902863,0.9255319237709045,0.10759936273097992
16,0.9234449863433838,0.1403646618127823,0.9893617033958435,0.10019578039646149
17,0.9665071964263916,0.11199600994586945,0.978723406791687,0.09245970100164413
18,0.959330141544342,0.11717695742845535,0.978723406791687,0.08311805129051208
19,0.9449760913848877,0.11284498125314713,0.978723406791687,0.07484269887208939
20,0.9641148447990417,0.09078914672136307,1.0,0.06709287315607071
21,0.9688995480537415,0.08859574794769287,0.978723406791687,0.06580889225006104
22,0.9856459498405457,0.07276272028684616,0.978723406791687,0.0579649992287159
23,0.9856459498405457,0.0691552460193634,1.0,0.05429627001285553
24,0.9784688949584961,0.06759002059698105,0.978723406791687,0.05914362519979477
25,0.9880383014678955,0.06034550443291664,1.0,0.045329514890909195
26,0.9904305934906006,0.05376460775732994,1.0,0.043979570269584656
27,0.9712918400764465,0.074070043861866,0.978723406791687,0.04925220087170601
28,0.9856459498405457,0.05787719786167145,0.978723406791687,0.04334362596273422
29,0.9928229451179504,0.04918380454182625,0.978723406791687,0.04177098721265793
30,0.9880383014678955,0.04962678998708725,0.978723406791687,0.03924345597624779
31,0.9952152967453003,0.044332582503557205,0.978723406791687,0.03833288699388504
32,0.9928229451179504,0.036187298595905304,0.978723406791687,0.036062344908714294
33,0.9904305934906006,0.040940042585134506,0.978723406791687,0.03355320915579796
34,0.9952152967453003,0.03163134679198265,0.978723406791687,0.03324110805988312
35,0.9880383014678955,0.04723852500319481,0.978723406791687,0.03451362997293472
36,0.9952152967453003,0.026794902980327606,0.978723406791687,0.03190355747938156
37,0.9976076483726501,0.030172554776072502,0.978723406791687,0.030712954699993134
38,0.9904305934906006,0.029393427073955536,0.978723406791687,0.029903875663876534
39,0.9976076483726501,0.026737742125988007,0.978723406791687,0.02956884540617466
40,0.9904305934906006,0.027882544323801994,0.978723406791687,0.027929138392210007
41,0.9880383014678955,0.04140383377671242,1.0,0.02547997049987316
42,0.9976076483726501,0.023629462346434593,0.978723406791687,0.027057310566306114
43,0.9952152967453003,0.022396665066480637,0.978723406791687,0.024846790358424187
44,0.9952152967453003,0.020467298105359077,0.978723406791687,0.027550844475626945
45,1.0,0.014985064044594765,0.978723406791687,0.027297139167785645
46,0.9928229451179504,0.022359106689691544,0.978723406791687,0.02782968059182167
47,0.9976076483726501,0.023322857916355133,0.978723406791687,0.025751007720828056
48,1.0,0.018225371837615967,0.978723406791687,0.024777302518486977
49,0.9976076483726501,0.018030459061264992,0.978723406791687,0.0220920629799366
